	meta	yat	k/h	h-drop	r/r-drop	št/ć	č dev/ć dev	eu/au/ ev/av	sa dev/s dev	tko/ko	šta/što	da li/je li	usprkos/uprkos/unatoč	bre/bolan/ba	mnogo/puno/vrlo/jako	HR months/international months	tjedan/nedjelja/nedelja/sedmica	drug/prijatelj (m/f)	treba da/trebaXXX da	inf with -i/inf without -i	synt. future/no synt. future	da' in text	da pres	og/oga	irati/isati	irati/ovati	inf/verb ratio	sr cyrillic/mix cyrillic/latin
RT @DELIJEDelije: sve ludo@DELIJEDelije @ http://t.co/Bz9n0TIMKl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Evo me u banci završavam čekove #devedesete	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Gledaj __telo__, gledaj vrat, ne gledaj na rolex sat! (@ Energy Gym) http://t.co/vwggQfaaDi	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@ja_nisam_odavle aladeen mada faka :D.. Najjaci :D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @LazaRos_69: Izvini diplomato	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ohayo http://t.co/9QgwKZKQxN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Što se ovog četvrtka tiče upravo palim __svetlo__.	-	e	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @BOEM_SEOSKI: - VOLIM TE. - OTKUD Z-Š DA JE TO LJUBAV!? - KAD MISLIM - TEBE TEŠKO DIŠEM. - TO NIJE LJUBAV, TO JE ASMA. - VAŽI, OND…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	- 	-	-	-	0	latin
RT @MilicaLeptirica: Imam tako zelju da odem u onu crnacku crkvu i da padam u trans...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
RT @olja_bg: Tviteraši, hajde da udomimo ove mačiće. Molim RT http://t.co/jf26lwt2Ih	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Koštunica izbacio iz DSS visoke fukcionere svoje stranke,jer zamislite tražili su demokrartizaciju stranke i drugačiji medijski pristup;Grrr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@MajkaSultanija A lupila sam ovo sad, haha. I da je odake šta ima da ga je sramota koju pičku materinu. Evo mene u selu pa ponosno kažem	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Zakon o radu ne __rešava__ problem neisplaćivanja zarada http://t.co/EaoagttP2Y	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Tezak je zivot nas no lifera	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@nihadtule Imam __druga__ konvertita. On se napr. izjasnio kao srbin islamske vjeroispovijesti. Misliš li da je trebao __druga__čije?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drug	-	-	-	da	-	-	-	-	0	latin
@TDjindjic @kkcrvenazvezda ipak je ovo neobicna sezona za sezonske. Hibridna. Nadam se sl sezona u Areni pa ce sve __biti__ __mnogo__ bolje.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	mnogo	-	-	-	-	inf-i	-	-	-	-	-	-	0.2	latin
mornin' ;-) (@ Zamet Penthouse in Rijeka) https://t.co/2C0oRf4E5y	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
