	TP 	FP 	TN 	FN
meta 	53 2 446 0
yat 	125 3 373 0
k/h 	1 0 500 0
h-drop 	1 0 500 0
r/r-drop 	4 0 497 0
št/ć 	3 1 497 0
č dev/ć dev 	3 0 498 0
eu/au/ ev/av 	1 0 500 0
sa dev/s dev 	20 1 480 0
tko/ko 	12 0 489 0
šta/što 	39 0 462 0
da li/je li 	13 0 488 0
usprkos/uprkos/unatoč 	1 0 500 0
bre/bolan/ba 	1 0 500 0
mnogo/puno/vrlo/jako 	4 0 497 0
HR months/international months 	3 0 498 0
tjedan/nedjelja/nedelja/sedmica 	4 0 497 0
drug/prijatelj (m/f) 	7 2 492 0
treba da/trebaXXX da 	2 0 499 0
inf with -i/inf without -i 	29 9 463 0
synt. future/no synt. future 	10 3 488 0
da' in text 	102 0 399 0
da pres 	9 0 492 0
og/oga 	8 0 493 0
irati/isati 	2 0 499 0
irati/ovati 	3 0 498 0
inf/verb ratio 	357 0 144 0
sr cyrillic/mix cyrillic/latin 	501 0 0 0
